single1	single2
OS02G01710	SB04G000645
OS08G25060	SB07G003540
OS12G05230	SB08G002960
OS08G44530	SB07G024070
OS02G12570	SB04G007560
OS02G10590	SB04G006780
OS06G08860	SB10G005990
OS01G42980	SB02G006656
OS09G28100	SB02G026450
OS01G62440	SB03G039500
OS05G25194	SB08G004950
OS01G60650	SB03G038220
OS12G17530	SB08G013400
OS05G13370	SB09G007300
OS05G06330	SB09G004310
OS01G63710	SB03G040310
OS11G05100	SB08G002880
OS03G03450	SB01G048790
OS07G05470	SB02G002940
OS08G01840	SB07G001010
OS07G20150	SB01G031290
OS01G47690	SB03G030620
OS03G48170	SB01G011710
OS05G05200	SB09G003400
OS02G03575	SB04G002340
OS02G18850	SB04G011310
OS01G59500	SB03G037600
OS11G07050	SB05G004620
OS08G40590	SB07G026870
OS01G64280	SB03G040700
OS01G56560	SB03G035980
OS07G03130	SB02G001890
OS01G03020	SB03G007890
OS08G31810	SB07G020166
OS02G48380	SB04G029980
OS09G32680	SB02G029140
OS04G40930	SB06G020670
OS02G02860	SB04G001710
OS09G02214	SB02G013050
OS04G34440	SB06G016430
OS04G55700	SB06G030900
OS02G51700	SB04G027640
OS10G08580	SB00G00580
OS01G15490	SB03G009960
OS08G14490	SB01G049980
OS02G50230	SB04G028700
OS05G19480	SB08G020920
OS02G46520	SB04G031260
OS03G17930	SB01G038590
OS12G19549	SB01G034910
OS03G57840	SB01G005580
OS09G07460	SB02G006860
OS01G61830	SB03G039020
OS06G01400	SB10G000400
OS05G30340	SB09G018170
OS11G21990	SB00G00845
OS03G63720	SB01G000760
OS07G07260	SB02G009640
OS11G10420	SB05G009420
OS01G05670	SB03G006070
OS02G56210	SB10G028040
OS01G08960	SB03G003460
OS03G56590	SB01G006400
OS05G33850	SB09G020150
OS03G08710	SB01G044840
OS04G32580	SB06G014630
OS04G32340	SB06G014350
OS04G35530	SB06G017090
OS10G25680	SB01G023110
OS03G45260	SB01G013020
OS12G09000	SB08G005560
OS08G45190	SB07G023470
OS08G22864	SB02G042200
OS06G20320	SB08G001930
OS06G02220	SB07G026190
OS05G03000	SB09G002050
OS05G43360	SB09G025020
OS04G42370	SB06G021740
OS02G49570	SB04G029200
OS12G37630	SB08G018330
OS05G07860	SB09G005200
OS01G01484	SB07G004650
OS09G02284	SB02G014460
OS02G04660	SB04G003160
OS02G10510	SB04G006730
OS07G43060	SB02G039750
OS06G44200	SB10G025790
OS04G51180	SB06G027460
OS02G03470	SB01G001440
OS08G10649	SB07G006070
OS03G02450	SB01G049560
OS04G39090	SB06G019260
OS03G18440	SB01G038270
OS12G13130	SB08G008280
OS02G03860	SB04G002620
OS03G05300	SB01G047130
OSCG00670	SBCG00670
OS08G32930	SB07G020690
OS11G18830	SB04G027150
OS05G46490	SB09G027130
OS03G15390	SB01G040520
OS11G32470	SB05G019770
OS05G04860	SB03G017741
OS02G49780	SB04G029010
OS03G55280	SB01G007370
OS09G36530	SB02G031100
OS02G01350	SB02G000660
OS02G19440	SB04G012200
OS07G40700	SB02G038320
OS02G54000	SB06G023140
OS05G31490	SB09G018830
OS03G07850	SB01G045520
OS03G08700	SB01G044850
OS09G13610	SB04G003076
OS03G27820	SB01G033300
OS09G24260	SB01G014880
OS12G35040	SB08G017020
OS03G19890	SB01G037220
OS10G31940	SB01G020160
OS02G55950	SB04G036270
OS02G49360	SB04G029360
OS06G21980	SB10G012720
OS01G51190	SB03G032550
OS01G74460	SB03G047480
OS06G43900	SB10G025480
OS06G43850	SB04G030280
OS03G57300	SB01G005910
OS05G05150	SB09G003270
OS01G17050	SB03G011200
OS07G22700	SB02G043830
OS08G36150	SB07G022590
OS03G12610	SB01G041870
OS09G26870	SB02G025780
OS07G34950	SB06G002030
OS03G43430	SB01G014100
OS11G42420	SB05G025620
OS09G29420	SB02G025090
OS04G35900	SB06G017360
OS10G36490	SB01G017540
OS03G56670	SB01G006370
OS04G56620	SB06G031680
OS05G51640	SB09G030790
OS03G55270	SB01G007390
OS01G48720	SB03G031160
OS02G56020	SB04G036370
OS12G40550	SB08G020250
OS07G06970	SB02G003680
OS12G41620	SB08G020980
OS04G52870	SB06G028850
