single1	single2
BD2G25930	OS05G33260
BD1G14210	OS03G43430
BD4G11687	OS11G42420
BD4G32720	OS09G29420
BD5G10800	OS04G35900
BD3G30790	OS10G36490
BD1G06890	OS03G56670
BD5G24930	OS04G56620
BD3G37880	OS05G51640
BD1G07920	OS03G55270
BD2G46550	OS01G48720
BD1G27356	OS07G30250
BD3G21370	OS05G01510
BD1G56760	OS07G06970
BD2G12110	OS01G21940
BD1G37520	OS06G37430
BD4G02100	OS12G41620
BD5G22050	OS04G52870
BD1G64390	OS03G19560
BD4G03827	OS12G38630
BD1G76130	OS03G04169
BD3G35517	OS08G31460
BD3G19450	OS08G16880
BD3G38730	OS08G37874
BD2G05520	OS01G09120
BD2G55580	OS01G64030
BD1G39950	OS06G30710
BD1G05116	OS03G58710
BD1G63050	OS03G21980
BD2G03717	OS01G73910
BD3G48880	OS02G40510
BD1G70657	OS03G10990
BD2G07530	OS01G12670
BD2G51230	OS01G56460
BD2G11107	OS01G18320
BD1G48757	OS06G06370
BD4G00950	OS12G43590
BD2G51070	OS01G56290
BD1G65450	OS03G18210
BD4G05317	OS12G36170
BD3G31120	OS10G37490
BD1G21620	OS07G42180
BD2G31830	OS05G14170
BD4G19975	OS11G20689
BD3G08190	OS02G12740
BD2G45987	OS01G47650
BD1G63380	OS03G21490
BD4G07350	OS12G29760
BD2G61370	OS01G72880
BD4G14630	OS11G38260
BD1G46580	OS06G09840
BD3G44590	OS08G44250
BD3G29830	OS10G35140
BD1G51230	OS06G05240
BD2G42300	OS01G40710
BD1G24790	OS07G37400
BD1G62850	OS03G22320
BD2G09637	OS01G15790
BD3G40020	OS08G39880
BD5G26080	OS04G57950
BD4G22110	OS11G11210
BD2G43190	OS01G42470
BD2G26850	OS05G32120
BD2G04190	OS01G07382
BD1G11160	OS03G50080
BD2G46690	OS01G48990
BD3G13920	OS08G02550
BD3G09820	OS02G16550
BD3G56270	OS03G17070
BD1G27310	OS07G30300
BD5G23320	OS04G54410
BD1G37907	OS06G36450
BD5G22730	OS04G53700
BD1G53857	OS07G12220
BD1G67387	OS03G15580
BD4G16040	OS11G36390
BDCG00990	OSCG01230
BD3G17077	OS08G05630
BD4G42210	OS11G05570
BD3G18970	OS08G14770
BD2G47090	OS01G49680
BD2G60670	OS01G72090
BD1G43705	OS06G16270
BD1G63816	OS03G20680
BD2G00600	OS01G01680
BD5G07370	OS04G31000
BD1G11150	OS03G50070
BD2G27810	OS05G30190
BD3G38380	OS08G37310
BD3G27090	OS05G19954
BD4G17047	OS11G33090
BD5G10810	OS04G35910
BD1G63330	OS03G21530
BD3G50800	OS02G44220
BD1G70570	OS03G11120
BD4G02640	OS12G40830
BD1G37400	OS06G37600
BD2G56792	OS01G65730
BD2G57330	OS01G66520
BD1G34550	OS06G49150
BD3G03112	OS02G04240
BD4G25130	OS11G05870
BD2G12037	OS01G21610
BD3G50060	OS02G42960
BD3G46580	OS02G36390
BD1G25340	OS07G36200
BD3G53310	OS02G48460
BD3G54650	OS02G56160
BD1G46900	OS06G09170
BD2G52900	OS01G59490
BD1G35230	OS06G50146
BD1G28353	OS07G28470
BD3G23167	OS10G25200
BD5G00430	OS09G01360
BD3G40470	OS08G40870
BD3G06500	OS02G09530
BD4G21270	OS11G13850
BD4G30797	OS09G25950
BD2G58060	OS01G67870
BD2G55100	OS01G63250
BD1G10420	OS03G51160
BD4G37800	OS03G31010
BD3G12640	OS08G45040
BD3G06010	OS02G08380
BD2G45890	OS01G47550
BD1G07860	OS03G55330
BD2G59370	OS01G70170
BD1G25830	OS07G34598
BD3G58750	OS02G51820
BD2G56060	OS01G64690
BD4G04040	OS12G37960
BD3G05360	OS02G47850
BD1G09450	OS03G52640
BD2G55110	OS01G63260
BD1G30600	OS06G43710
BD3G29910	OS10G35380
BD2G25910	OS05G33280
BD1G44060	OS06G14740
BD4G01215	OS12G42870
